timestamp,posture,decibel_level,ambient_light
2025/10/13 20:54:14,standing,37,683
2025/10/13 20:54:20,standing,37,628
2025/10/13 20:54:26,standing,36,659
2025/10/13 20:54:31,standing,37,646
2025/10/13 20:58:24,standing,35,646
2025/10/13 20:58:34,standing,38,686
2025/10/13 20:58:45,standing,37,632
2025/10/13 20:58:55,standing,37,623
2025/10/13 20:59:06,standing,38,655
2025/10/13 20:59:16,standing,35,684
2025/10/13 20:59:26,standing,35,632
2025/10/13 20:59:37,standing,34,684
2025/10/13 20:59:47,standing,33,683
2025/10/13 20:59:57,unknown,36,671
2025/10/13 21:00:08,standing,36,649
2025/10/13 21:00:18,unknown,36,679
2025/10/13 21:00:29,standing,42,665
2025/10/13 21:00:39,unknown,36,686
2025/10/13 21:00:49,lying,37,627
2025/10/13 21:01:00,lying,37,674
2025/10/13 21:01:10,sitting,37,637
2025/10/13 21:01:21,standing,36,683
2025/10/13 21:01:31,standing,37,687
2025/10/13 21:01:42,unknown,36,676
2025/10/13 21:01:52,standing,37,679
2025/10/13 21:02:02,standing,35,665
2025/10/13 21:02:13,standing,35,637
2025/10/13 21:02:23,unknown,57,689
2025/10/13 21:02:33,unknown,57,686
2025/10/13 21:02:44,unknown,58,685
2025/10/13 21:02:54,unknown,69,684
2025/10/13 21:03:05,unknown,37,683
2025/10/13 21:03:15,unknown,36,681
2025/10/13 21:03:25,standing,57,686
2025/10/13 21:03:36,unknown,57,679
2025/10/13 21:03:46,unknown,58,665
2025/10/13 21:03:56,unknown,69,686
2025/10/13 21:04:07,standing,47,690
2025/10/13 21:04:17,standing,46,681
2025/10/13 21:04:28,standing,56,682
2025/10/13 21:04:38,unknown,50,689
2025/10/13 21:04:48,unknown,37,685
2025/10/13 21:04:59,unknown,37,684
2025/10/13 21:05:09,unknown,36,688
2025/10/13 21:05:19,unknown,37,684
2025/10/13 21:05:30,unknown,36,690
2025/10/13 21:05:40,unknown,38,689
2025/10/13 21:05:51,unknown,27,686
2025/10/13 21:06:01,unknown,27,687
2025/10/13 21:06:11,unknown,24,685
2025/10/13 21:06:22,unknown,25,682
2025/10/13 21:06:32,unknown,25,684
2025/10/13 21:06:43,unknown,24,687
2025/10/13 21:06:53,unknown,25,689
2025/10/13 21:07:03,unknown,26,683
2025/10/13 21:07:14,unknown,26,686
2025/10/13 21:07:24,unknown,26,684
2025/10/13 21:07:34,unknown,26,680
2025/10/13 21:07:45,unknown,26,682
2025/10/13 21:07:55,unknown,27,688
2025/10/13 21:08:06,unknown,27,685
2025/10/13 21:08:16,unknown,24,686
2025/10/13 21:08:26,unknown,25,684
2025/10/13 21:08:37,unknown,26,684
2025/10/13 21:08:47,unknown,16,688
2025/10/13 21:08:58,unknown,26,686
2025/10/13 21:09:08,unknown,27,687
2025/10/13 21:09:18,unknown,18,685
2025/10/13 21:09:29,unknown,15,690
2025/10/13 21:09:39,unknown,15,688
2025/10/13 21:09:49,unknown,14,689
2025/10/13 21:10:00,unknown,17,686
2025/10/13 21:10:10,unknown,14,690
2025/10/13 21:10:20,unknown,15,685
2025/10/13 21:10:31,unknown,16,691
2025/10/13 21:10:41,unknown,16,689
2025/10/13 21:10:52,unknown,26,683
2025/10/13 21:11:02,unknown,27,685
2025/10/13 21:11:12,unknown,28,685
2025/10/13 21:11:23,unknown,25,685
2025/10/13 21:11:33,unknown,25,683
2025/10/13 21:11:44,unknown,24,685
2025/10/13 21:11:54,unknown,27,684
2025/10/13 21:12:04,unknown,24,689
2025/10/13 21:12:15,unknown,25,687
2025/10/13 21:12:25,unknown,26,688
2025/10/13 21:12:35,unknown,25,690
2025/10/13 21:12:46,unknown,26,687
2025/10/13 21:12:56,unknown,26,688
2025/10/13 21:13:07,unknown,26,686
2025/10/13 21:13:17,unknown,17,690
2025/10/13 21:13:27,unknown,18,685
2025/10/13 21:13:38,unknown,25,686
2025/10/13 21:13:48,unknown,25,684
2025/10/13 21:13:58,unknown,18,682
2025/10/13 21:14:09,unknown,28,690
2025/10/13 21:14:19,unknown,18,690
2025/10/13 21:14:30,unknown,27,684
2025/10/13 21:14:40,unknown,27,686
2025/10/13 21:14:50,unknown,23,683
2025/10/13 21:15:01,unknown,25,690
2025/10/13 21:15:11,unknown,28,680
2025/10/13 21:15:21,unknown,22,687
2025/10/13 21:15:32,unknown,18,683
2025/10/13 21:15:42,unknown,18,684
2025/10/13 21:15:53,unknown,24,691
2025/10/13 21:16:03,unknown,25,680
2025/10/13 21:16:13,unknown,26,688
2025/10/13 21:16:24,unknown,16,689
2025/10/13 21:16:34,unknown,26,688
2025/10/13 21:16:44,unknown,27,685
2025/10/13 21:16:55,unknown,18,686
2025/10/13 21:17:05,unknown,15,682
2025/10/13 21:17:16,unknown,15,688
2025/10/13 21:17:26,unknown,14,688
2025/10/13 21:17:36,unknown,17,690
2025/10/13 21:17:47,unknown,14,686
2025/10/13 21:17:57,unknown,15,688
2025/10/13 21:18:07,unknown,16,686
2025/10/13 21:18:18,unknown,18,685
2025/10/13 21:18:28,unknown,24,687
2025/10/13 21:18:39,unknown,25,662
2025/10/13 21:18:49,unknown,26,690
2025/10/13 21:18:59,unknown,16,689
2025/10/13 21:19:10,unknown,26,684
2025/10/13 21:19:20,unknown,27,686
2025/10/13 21:19:31,unknown,18,683
2025/10/13 21:19:41,unknown,15,690
2025/10/13 21:19:51,unknown,15,690
2025/10/13 21:20:02,unknown,25,687
2025/10/13 21:20:12,unknown,26,682
2025/10/13 21:20:23,unknown,26,688
2025/10/13 21:20:33,unknown,26,681
2025/10/13 21:20:43,unknown,17,684
2025/10/13 21:20:54,unknown,18,687
2025/10/13 21:21:04,unknown,25,686
2025/10/13 21:21:14,unknown,25,685
2025/10/13 21:21:25,unknown,18,686
2025/10/13 21:21:35,unknown,18,685
2025/10/13 21:21:46,unknown,14,689
2025/10/13 21:21:56,unknown,13,683
2025/10/13 21:22:06,unknown,16,684
2025/10/13 21:22:17,unknown,18,684
2025/10/13 21:22:27,unknown,14,685
2025/10/13 21:22:37,unknown,15,688
2025/10/13 21:22:48,unknown,14,688
2025/10/13 21:22:58,unknown,14,645
2025/10/13 21:23:09,unknown,14,682
2025/10/13 21:23:19,unknown,14,687
2025/10/13 21:23:29,unknown,15,634
2025/10/13 21:23:40,unknown,16,687
2025/10/13 21:23:50,unknown,15,683
2025/10/13 21:24:00,unknown,14,683
2025/10/13 21:24:11,unknown,15,675
2025/10/13 21:24:21,unknown,16,684
2025/10/13 21:24:31,unknown,15,683
2025/10/13 21:24:42,unknown,15,654
2025/10/13 21:24:52,unknown,11,684
2025/10/13 21:25:03,unknown,26,685
2025/10/13 21:25:13,unknown,17,690
2025/10/13 21:25:23,unknown,26,689
2025/10/13 21:25:34,unknown,25,689
2025/10/13 21:25:44,unknown,24,683
2025/10/13 21:25:55,unknown,24,683
2025/10/13 21:26:05,unknown,24,691
2025/10/13 21:26:15,standing,51,683
2025/10/13 21:26:26,unknown,43,684
2025/10/13 21:26:36,lying,42,687
2025/10/13 21:26:47,sitting,43,686
2025/10/13 21:26:57,standing,41,690
2025/10/13 21:27:07,standing,48,684
2025/10/13 21:27:18,lying,58,684
2025/10/13 21:27:28,lying,45,688
2025/10/13 21:27:39,sitting,50,685
2025/10/13 21:27:50,standing,40,689
2025/10/13 21:28:00,standing,50,683
2025/10/13 21:28:11,standing,54,683
2025/10/13 21:28:21,standing,50,682
2025/10/13 21:28:31,unknown,56,682
2025/10/13 21:28:42,standing,54,689
2025/10/13 21:28:52,standing,47,648
2025/10/13 21:29:02,lying,52,683
2025/10/13 21:29:12,lying,58,684
2025/10/13 21:29:22,sitting,45,683
2025/10/13 21:29:32,lying,49,693
2025/10/13 21:29:43,lying,48,632
2025/10/13 21:29:53,lying,55,654
2025/10/13 21:30:03,lying,43,685
2025/10/13 21:30:13,lying,48,689
2025/10/13 21:30:23,lying,55,675
2025/10/13 21:30:34,lying,46,674
2025/10/13 21:30:44,lying,41,689
2025/10/13 21:30:54,lying,55,684
2025/10/13 21:31:04,lying,49,683
2025/10/13 21:31:14,lying,59,684
2025/10/13 21:31:24,lying,54,682
2025/10/13 21:31:34,lying,58,687
2025/10/13 21:31:45,lying,53,684
2025/10/13 21:31:55,lying,48,687
2025/10/13 21:32:05,lying,53,683
2025/10/13 21:32:15,lying,52,686
2025/10/13 21:32:25,lying,52,685
2025/10/13 21:32:35,lying,49,682
2025/10/13 21:32:45,lying,53,685
2025/10/13 21:32:56,lying,44,689
2025/10/13 21:33:06,lying,58,682
2025/10/13 21:33:16,lying,56,683
2025/10/13 21:33:26,lying,40,686
2025/10/13 21:33:37,lying,53,643
2025/10/13 21:33:47,lying,51,687
2025/10/13 21:33:57,lying,49,686
2025/10/13 21:34:07,lying,48,685
2025/10/13 21:34:18,lying,59,683
2025/10/13 21:34:28,lying,44,687
2025/10/13 21:34:38,lying,41,684
2025/10/13 21:34:48,lying,41,686
2025/10/13 21:34:59,lying,54,684
2025/10/13 21:35:10,lying,58,685
